Title,Genres,Total Play Time,Rating,Storage Required,Release Year,Developer,Publisher,Price
Rust,"Adventure, RPG",721.37,6.7,37.4,2003,Epic Games,Sega,33.5
ARK: Survival Evolved,"Strategy, Adventure, MMORPG",594.86,5.4,41.9,2015,Epic Games,Bethesda,14.27
Fallout 4,"Racing, Open World",31.98,4.5,15,2009,Bungie,Bethesda,9.67
Sekiro: Shadows Die Twice,"RPG, Adventure, Simulation",700.46,5.1,4.1,2002,Bungie,Activision,53.42
Hollow Knight,"Simulation, RPG, MMORPG",270.68,4.8,93.2,2023,BioWare,Nintendo,25.73
Slay the Spire,"Open World, Adventure, Puzzle",689.03,2.6,39.5,2022,Rockstar Games,Bethesda,38.85
Portal 2,RPG,345.73,1.1,71.6,2011,EA,Electronic Arts,32.46
Subnautica,Open World,471.68,1.7,94.1,2019,Ubisoft,Bethesda,40.13
Borderlands 3,"Sports, Open World, Adventure",548.95,2.7,22.2,2017,Epic Games,Bethesda,55.13
Overwatch,Sports,110.45,2.8,77.1,2022,Rockstar Games,Capcom,34.34
Fortnite,"Adventure, Puzzle",807.97,9.2,58.1,2015,Rockstar Games,Sega,47.61
Minecraft,First-person shooter,720.53,8.3,57,2019,EA,Bethesda,11.42
The Elder Scrolls V: Skyrim,"Adventure, Open World",624.51,8.9,56.2,2009,CD Projekt Red,Bethesda,45.38
Left 4 Dead 2,RPG,942.48,6,57.4,2020,Bungie,Square Enix,28.12
Team Fortress 2,"Simulation, First-person shooter",199.66,3.3,29.1,2006,Ubisoft,Activision,56.88
Tom Clancy's Rainbow Six Siege,"Open World, First-person shooter",580.93,6.8,22.3,2022,Rockstar Games,Capcom,59.82
BioShock Infinite,Simulation,80.7,3.5,79.8,2007,EA,Activision,1.17
Far Cry 5,RPG,642.28,1.6,42.9,2021,BioWare,Microsoft,7.85
Assassin's Creed Odyssey,Puzzle,545.65,7.6,93,2017,BioWare,Sony,30.72
Just Cause 4,"Simulation, RPG, Adventure",959.78,7.8,93.2,2002,Ubisoft,Microsoft,23.29
Metro Exodus,"Racing, Adventure, Strategy",257.98,1.6,63.9,2016,Bungie,Sega,59.72
Destiny 2,"First-person shooter, Sports, Puzzle",260.84,2.4,3.9,2005,Epic Games,Bandai Namco,31.97
Resident Evil 2,"Strategy, Racing",413.79,4,90.6,2010,Rockstar Games,Sony,52.43
Monster Hunter: World,"Strategy, Open World",347.07,7.3,32.2,2017,Epic Games,Microsoft,54.97
The Sims 4,Strategy,12.2,3.8,26.9,2001,Bungie,Microsoft,12.06
Sid Meier's Civilization VI,Strategy,667.82,5.3,50.3,2020,Epic Games,Bethesda,20.23
The Legend of Zelda: Breath of the Wild,"Adventure, First-person shooter",940.22,5.8,23.5,2007,Epic Games,Capcom,15.48
Super Mario Odyssey,"Puzzle, Simulation",405.07,5.9,89.7,2001,Bethesda,Sony,42.27
God of War,First-person shooter,463.46,9.2,5.9,2023,Nintendo,Microsoft,13.37
Bloodborne,"Open World, Puzzle",757.32,4.6,4.8,2003,Nintendo,Activision,59
Horizon Zero Dawn,"MMORPG, Adventure",756.01,1.1,85,2007,BioWare,Square Enix,5.54
Persona 5,"First-person shooter, RPG",805.91,7.3,98.9,2018,Nintendo,Sega,3.5
Final Fantasy XV,Open World,134.91,6.6,96.3,2020,EA,Sega,6.25
The Last of Us,"First-person shooter, Open World",205.8,5.8,6.4,2010,Bungie,Bandai Namco,9.32
Death Stranding,Racing,995.69,8.6,30.2,2005,Bungie,Sega,51.71
Apex Legends,"Puzzle, RPG",713.23,7.3,30.4,2000,EA,Nintendo,8.73
Dota Underlords,Adventure,949.75,3.8,46.9,2000,BioWare,Bethesda,51.85
Counter-Strike: Global Offensive,"Adventure, Simulation",640.01,9.9,60.2,2022,Ubisoft,Bethesda,1.54
Grand Theft Auto V,"Puzzle, RPG, Strategy",85.05,1.2,20.6,2003,BioWare,Capcom,3.14
PlayerUnknown's Battlegrounds,RPG,385.65,9,10.8,2001,CD Projekt Red,Sony,13.19
Rocket League,"Simulation, RPG",850.68,1.6,6.6,2021,BioWare,Nintendo,12.79
The Witcher 3: Wild Hunt,"Strategy, MMORPG, Adventure",466.78,6.9,56.4,2018,Bethesda,Square Enix,22.5
Red Dead Redemption 2,"Puzzle, Strategy",954.89,4.9,70.5,2020,Nintendo,Bandai Namco,46.38
Cyberpunk 2077,"MMORPG, First-person shooter",494.9,1.8,76.6,2019,BioWare,Bethesda,33.1
DOOM Eternal,First-person shooter,388.25,4.9,6.6,2023,Valve,Electronic Arts,46.54
Stardew Valley,Racing,987.76,6.4,16.6,2017,Rockstar Games,Bandai Namco,23.49
Terraria,Sports,807.32,8.6,6.6,2012,Bethesda,Microsoft,6.52
Dark Souls III,"Puzzle, Adventure, Sports",546.75,1.2,65.2,2017,Nintendo,Bethesda,8.94
Hades,Strategy,791.61,9.3,45,2007,Valve,Bethesda,22.79
Half-Life: Alyx,"Puzzle, Adventure, Open World",852.42,6,89.8,2021,Bungie,Microsoft,42.14
Valheim,"Open World, RPG, Puzzle",265.16,1.5,33.2,2000,Valve,Bethesda,17.93
Among Us,Racing,933.86,9.5,33.7,2020,Valve,Sega,20.82
Rust,"RPG, Racing, Puzzle",432.03,5.3,75.3,2010,Nintendo,Microsoft,31.34
ARK: Survival Evolved,"Simulation, First-person shooter, Racing",740.34,4.5,1.8,2007,Bethesda,Square Enix,1.51
Fallout 4,Open World,348.82,8.6,8.3,2013,Ubisoft,Nintendo,44.87
Sekiro: Shadows Die Twice,RPG,106.6,4.4,34.5,2008,Bungie,Activision,3.43
Hollow Knight,"Racing, Puzzle",612.51,1.9,69.9,2010,Valve,Sega,4.42
Slay the Spire,First-person shooter,426.87,6,73.3,2005,Bungie,Bethesda,29.66
Portal 2,"Strategy, Racing",36.03,2.4,2.5,2018,BioWare,Electronic Arts,56.17
Subnautica,"Strategy, Racing, MMORPG",662.31,8.2,73.6,2005,CD Projekt Red,Microsoft,2.07
Borderlands 3,"Racing, MMORPG",804.21,3.3,34.5,2016,Bethesda,Square Enix,30.44
Overwatch,"Sports, First-person shooter, MMORPG",275.52,3.6,82.8,2005,Nintendo,Bandai Namco,16.43
Fortnite,"First-person shooter, Puzzle",543.4,4.1,22.9,2001,Ubisoft,Microsoft,35.08
Minecraft,RPG,899.75,3.1,38.7,2012,CD Projekt Red,Bandai Namco,53.23
The Elder Scrolls V: Skyrim,Simulation,608.79,1.1,29.9,2018,Ubisoft,Nintendo,14.03
Left 4 Dead 2,"Puzzle, First-person shooter, Racing",725.57,8,74.6,2016,EA,Electronic Arts,52.37
Team Fortress 2,Sports,595.3,1.6,31.3,2008,EA,Bandai Namco,17.1
Tom Clancy's Rainbow Six Siege,"Puzzle, MMORPG, Strategy",877.49,2.9,77.1,2009,EA,Microsoft,58.04
BioShock Infinite,"Racing, First-person shooter, MMORPG",782.32,4.1,1.7,2000,Valve,Microsoft,32.25
Far Cry 5,"Racing, RPG, Strategy",635.2,9.9,3.4,2000,Nintendo,Bethesda,31.01
Assassin's Creed Odyssey,"Racing, Puzzle, Strategy",112.13,7.4,72.3,2007,Valve,Sony,28.67
Just Cause 4,"MMORPG, Sports",311.23,5.7,28.2,2002,Epic Games,Capcom,45.8
Metro Exodus,"Racing, Puzzle, Strategy",868.07,4.4,15.7,2013,Ubisoft,Bandai Namco,53.07
Destiny 2,Puzzle,843.97,6.7,30.3,2017,Bethesda,Capcom,54.13
Resident Evil 2,First-person shooter,686.92,3.6,63.6,2008,BioWare,Microsoft,13.46
Monster Hunter: World,"Sports, Strategy",833.46,9.4,49.7,2018,Bungie,Electronic Arts,35.88
The Sims 4,"Sports, MMORPG",973.35,1.7,14.7,2002,EA,Sony,21.56
Sid Meier's Civilization VI,Adventure,144.62,7.7,26.5,2018,BioWare,Sega,32.22
The Legend of Zelda: Breath of the Wild,"Sports, Strategy",17.65,5.7,77.4,2019,CD Projekt Red,Bandai Namco,7.55
Super Mario Odyssey,First-person shooter,9.99,2.1,54.9,2003,Nintendo,Nintendo,38.26
God of War,Strategy,141.8,8.6,30.1,2002,Nintendo,Sony,21.87
Bloodborne,RPG,650.66,1.3,63.5,2016,EA,Electronic Arts,51.02
Horizon Zero Dawn,"Sports, Strategy, Adventure",798.61,8.4,83.8,2002,Bungie,Electronic Arts,1.32
Persona 5,"Open World, First-person shooter, Adventure",221.1,5.7,34.2,2023,EA,Activision,1.82
Final Fantasy XV,"Strategy, Racing, First-person shooter",722.67,1.9,25.2,2008,CD Projekt Red,Capcom,57.61
The Last of Us,"Adventure, Racing, Puzzle",69.4,4.9,83.9,2007,Rockstar Games,Square Enix,55.47
Death Stranding,"Open World, Adventure",782.83,5.6,97.1,2002,EA,Square Enix,28.84
Apex Legends,Racing,137.07,4.7,25.4,2022,BioWare,Bethesda,45.12
Dota Underlords,"Racing, Adventure, First-person shooter",490.67,1.4,71.4,2008,Ubisoft,Activision,31.88
Counter-Strike: Global Offensive,First-person shooter,809.55,8.3,59.6,2004,Nintendo,Microsoft,25.45
Grand Theft Auto V,Puzzle,180.62,4.6,33.9,2022,CD Projekt Red,Capcom,10.53
PlayerUnknown's Battlegrounds,RPG,197.76,4.9,14.2,2016,Epic Games,Capcom,27.59
Rocket League,Sports,547.62,9.1,23,2001,Bethesda,Bandai Namco,16.14
The Witcher 3: Wild Hunt,Puzzle,404.23,4.8,69.6,2002,Nintendo,Electronic Arts,16.61
Red Dead Redemption 2,MMORPG,862.03,7.6,83.8,2021,Bungie,Capcom,26.91
Cyberpunk 2077,"Puzzle, Adventure",722.17,9.3,38.4,2014,Rockstar Games,Bethesda,5.03
DOOM Eternal,"Puzzle, RPG",287.12,4.2,28.1,2022,Nintendo,Electronic Arts,53.89
Stardew Valley,Adventure,312.48,7.9,83.7,2022,Bethesda,Microsoft,22.69
Terraria,"Open World, Strategy, MMORPG",816.53,5.7,78.2,2016,Ubisoft,Microsoft,15.45
Dark Souls III,Simulation,322.02,5.7,99,2005,Ubisoft,Activision,55.94
Hades,Puzzle,132.66,9.9,13.9,2014,BioWare,Nintendo,4.06
Half-Life: Alyx,"RPG, Adventure",252.13,1.6,87.9,2018,Epic Games,Microsoft,0.68
Valheim,Sports,675.52,7.1,71.6,2010,CD Projekt Red,Sony,10.31
Among Us,"Racing, RPG, Sports",486.39,1.8,4.5,2013,Ubisoft,Bandai Namco,45.6
Rust,"Racing, Adventure",752.28,4.4,85.1,2012,Valve,Sony,43.61
ARK: Survival Evolved,MMORPG,16.74,9.9,90.1,2017,EA,Electronic Arts,33.31
Fallout 4,"Strategy, Open World, RPG",467.61,3.9,43.2,2003,Nintendo,Activision,14.14
Sekiro: Shadows Die Twice,"Puzzle, MMORPG",18.45,3.6,16.7,2000,EA,Sony,10.3
Hollow Knight,"Adventure, Strategy, MMORPG",555.92,6.2,72.7,2004,Nintendo,Microsoft,57.72
Slay the Spire,Open World,609.29,1.3,98.1,2013,CD Projekt Red,Sony,45.37
Portal 2,"Puzzle, MMORPG",115.89,5.8,24.5,2003,Bethesda,Bethesda,47.97
Subnautica,"First-person shooter, Puzzle",375.22,7.9,93.6,2007,Bethesda,Capcom,26.7
Borderlands 3,Adventure,552.54,1.2,28.8,2007,BioWare,Sony,55.92
Overwatch,"First-person shooter, Racing, Puzzle",632.57,4.1,18.3,2020,EA,Nintendo,33.36
Fortnite,Puzzle,927.52,8.2,60.1,2009,Rockstar Games,Bandai Namco,11.9
Minecraft,"MMORPG, Open World, Simulation",21.96,6.7,89.4,2012,Valve,Electronic Arts,8.04
The Elder Scrolls V: Skyrim,"Strategy, Sports",716.34,8.1,24.7,2021,CD Projekt Red,Capcom,57.36
Left 4 Dead 2,First-person shooter,791.59,3.8,73.9,2017,CD Projekt Red,Sega,1.61
Team Fortress 2,"Open World, Simulation",888.44,4.9,94.3,2005,Nintendo,Capcom,29.24
Tom Clancy's Rainbow Six Siege,"Sports, First-person shooter",872.84,3.5,88.9,2001,Bungie,Activision,45.76
BioShock Infinite,Racing,60.65,4.5,85.1,2014,Epic Games,Microsoft,18.59
Far Cry 5,"Strategy, RPG",937.82,4.5,12.8,2012,Epic Games,Microsoft,12.55
Assassin's Creed Odyssey,"Racing, MMORPG, Adventure",723.06,8.7,97.5,2007,Nintendo,Microsoft,21.18
Just Cause 4,"MMORPG, Open World",999.94,7.6,5.2,2001,EA,Activision,0.72
Metro Exodus,"MMORPG, RPG",536.07,3,6.3,2011,Ubisoft,Activision,49.88
Destiny 2,Sports,500.69,2.5,3.5,2007,Nintendo,Sony,57.33
Resident Evil 2,"First-person shooter, Puzzle",683.79,2,35,2009,EA,Sony,8.09
Monster Hunter: World,"Open World, Adventure, Racing",490.25,1.2,85.2,2023,EA,Electronic Arts,21.89
The Sims 4,"Racing, Adventure, Puzzle",78.61,2.1,3.2,2018,EA,Capcom,33.32
Sid Meier's Civilization VI,"MMORPG, RPG, Open World",614.35,3.8,1.9,2015,Bungie,Square Enix,43.02
The Legend of Zelda: Breath of the Wild,"Simulation, Adventure, Puzzle",501.36,9.3,71.9,2008,Epic Games,Capcom,8.67
Super Mario Odyssey,RPG,37.65,1.1,65.5,2000,Valve,Electronic Arts,12.96
God of War,Puzzle,569.89,5.8,45.1,2015,Bungie,Microsoft,17.66
Bloodborne,"RPG, Open World",56.7,7.7,49.3,2006,Rockstar Games,Microsoft,7.74
Horizon Zero Dawn,First-person shooter,864.73,10,75,2000,Bungie,Nintendo,23.21
Persona 5,"Puzzle, RPG, MMORPG",5.09,3.6,90.3,2017,Nintendo,Capcom,27.49
Final Fantasy XV,"First-person shooter, RPG, Sports",846.63,5.6,15.6,2013,Nintendo,Electronic Arts,41.06
The Last of Us,Adventure,873.52,9.1,7.9,2001,CD Projekt Red,Bethesda,46.2
Death Stranding,Racing,522.11,8.9,86.4,2014,Nintendo,Microsoft,28.79
Apex Legends,"RPG, Simulation",73.79,2.6,2.2,2000,Valve,Microsoft,46.73
Dota Underlords,"Racing, Puzzle",587.14,5.6,91.1,2019,BioWare,Capcom,39.36
Counter-Strike: Global Offensive,Sports,257.41,9.9,15.2,2012,Bungie,Sega,9.79
Grand Theft Auto V,"Puzzle, First-person shooter, MMORPG",10.53,7.1,39.6,2003,Epic Games,Electronic Arts,43.47
PlayerUnknown's Battlegrounds,"Puzzle, RPG",457.43,3.1,99.7,2020,Bungie,Sony,7.93
Rocket League,"First-person shooter, Simulation",731.3,7.9,74.1,2002,Bethesda,Capcom,59.4
The Witcher 3: Wild Hunt,"Puzzle, RPG, Strategy",601.76,4.3,63,2004,Nintendo,Bethesda,45.16
Red Dead Redemption 2,Strategy,825.34,9.4,35.5,2016,Ubisoft,Sony,54.44
Cyberpunk 2077,Adventure,548.13,9.4,23.8,2022,Valve,Activision,8.45
DOOM Eternal,"Sports, Racing, Puzzle",663.66,5,89.8,2001,CD Projekt Red,Electronic Arts,15.42
Stardew Valley,"Simulation, Puzzle",496.82,1.3,61.9,2011,Nintendo,Sega,15.75
Terraria,Strategy,684.62,1.5,73,2009,EA,Activision,10.71
Dark Souls III,Puzzle,162.91,5.3,44.2,2007,Bethesda,Sega,25.03
Hades,"Open World, Racing",378.2,9.4,69.2,2010,Valve,Microsoft,22.07
Half-Life: Alyx,Puzzle,120.67,3.4,9,2001,Bethesda,Sega,33.4
Valheim,"Strategy, Puzzle",816.65,3.6,25.7,2020,CD Projekt Red,Sony,45.07
Among Us,"Sports, Puzzle, Adventure",223.65,8.5,79,2007,Epic Games,Sega,55.88
Rust,"Racing, Simulation",931.37,8.1,97.5,2013,BioWare,Sega,8.5
ARK: Survival Evolved,"Simulation, Adventure",181.7,7.6,24.8,2004,CD Projekt Red,Activision,57.09
Fallout 4,"Sports, Simulation, Puzzle",663.62,2.3,78.2,2017,EA,Electronic Arts,57.32
Sekiro: Shadows Die Twice,RPG,471.93,4.6,5.9,2001,Bungie,Bandai Namco,59.42
Hollow Knight,"First-person shooter, MMORPG",416.17,3.8,44.2,2018,Rockstar Games,Activision,36.77
Slay the Spire,"Sports, Adventure",828.14,9.4,11.4,2005,Valve,Bethesda,13.04
Portal 2,Adventure,666.77,4.8,43.7,2020,BioWare,Electronic Arts,59.56
Subnautica,"MMORPG, Adventure",299.04,9,5.3,2005,EA,Nintendo,15.33
Borderlands 3,"Adventure, Puzzle, Sports",512.46,7.4,24,2001,Bungie,Nintendo,53.09
Overwatch,"MMORPG, Adventure, Open World",310.74,3.9,29.1,2014,Valve,Bandai Namco,58.09
Fortnite,"Simulation, Open World, Puzzle",947.99,3,63.4,2017,EA,Activision,0.55
Minecraft,"Strategy, Adventure, First-person shooter",13.33,2.8,32.7,2003,Rockstar Games,Microsoft,38.72
The Elder Scrolls V: Skyrim,"MMORPG, First-person shooter, Adventure",404.33,5.9,12.6,2016,Bethesda,Sega,0.82
Left 4 Dead 2,Simulation,630.71,7.6,51.6,2017,Bungie,Activision,0.08
Team Fortress 2,"Simulation, Sports",940.43,9.5,5.5,2014,Nintendo,Bethesda,53.2
Tom Clancy's Rainbow Six Siege,"Open World, Racing, Strategy",449.89,2.5,89.3,2010,Bethesda,Electronic Arts,28.07
BioShock Infinite,"Simulation, Adventure, Puzzle",612.29,5.8,1.8,2022,Bungie,Electronic Arts,49.65
Far Cry 5,Puzzle,48.44,1.3,70.8,2018,CD Projekt Red,Bethesda,33.84
Assassin's Creed Odyssey,"Strategy, Racing",245.82,6.1,10.7,2007,Bungie,Activision,24.1
Just Cause 4,"Racing, Puzzle, First-person shooter",696.79,3.8,49.3,2001,Ubisoft,Electronic Arts,0.57
Metro Exodus,Simulation,688.67,5.3,82.9,2003,Ubisoft,Square Enix,23.3
Destiny 2,"Simulation, MMORPG, First-person shooter",178.98,7.4,27.4,2011,BioWare,Square Enix,41.48
Resident Evil 2,Strategy,249.9,9.9,79.2,2019,Epic Games,Sony,18.46
Monster Hunter: World,"Adventure, Simulation",236.69,7.4,61.1,2005,Valve,Square Enix,31.7
The Sims 4,"MMORPG, Adventure",326.85,5.5,53.3,2001,Rockstar Games,Sony,31.36
Sid Meier's Civilization VI,Strategy,497.46,2.5,13.9,2021,Epic Games,Sega,24.54
The Legend of Zelda: Breath of the Wild,RPG,870.94,2.7,95.3,2011,EA,Electronic Arts,22.3
Super Mario Odyssey,Racing,153.3,9.2,53.7,2001,BioWare,Bandai Namco,22.66
God of War,"Racing, Adventure",139.43,1.5,83.7,2015,Epic Games,Square Enix,4
Bloodborne,First-person shooter,108.12,1.1,21.7,2009,EA,Square Enix,34.31
Horizon Zero Dawn,"RPG, Puzzle, Racing",172.9,9.4,88.2,2000,Rockstar Games,Microsoft,20.32
Persona 5,"MMORPG, RPG",334.73,9.2,21.2,2023,CD Projekt Red,Bandai Namco,45.72
Final Fantasy XV,MMORPG,49.25,8.9,10.2,2009,Epic Games,Sega,21.92
The Last of Us,"Simulation, First-person shooter",425.59,8.1,52,2018,Bungie,Square Enix,50.96
Death Stranding,Puzzle,166.86,5.5,67.1,2008,Epic Games,Activision,49.5
Apex Legends,Racing,658.03,1.1,46.1,2011,Bethesda,Microsoft,55.83
Dota Underlords,"Open World, MMORPG",717.86,8.7,35.7,2002,Epic Games,Bethesda,29.11
Counter-Strike: Global Offensive,First-person shooter,882.48,7.3,54.2,2018,Nintendo,Sega,24.11
Grand Theft Auto V,Open World,664.02,3.6,47.2,2005,Rockstar Games,Bethesda,1.28
PlayerUnknown's Battlegrounds,"Strategy, Simulation, Puzzle",258.89,3.4,94.1,2013,Bungie,Capcom,26.28
Rocket League,"Sports, Adventure, RPG",451.63,6.4,29.7,2017,Valve,Nintendo,39.46
The Witcher 3: Wild Hunt,"Adventure, Open World",195.96,5.1,49.1,2012,BioWare,Activision,4.32
Red Dead Redemption 2,Sports,624.39,7.8,55.2,2011,Ubisoft,Activision,9.88
Cyberpunk 2077,"Racing, Sports, Open World",479.45,7.5,76,2009,Nintendo,Microsoft,51.2
DOOM Eternal,"MMORPG, Strategy",22.83,7.7,57.7,2006,Valve,Sony,2.44
Stardew Valley,"Open World, First-person shooter",311.95,9.7,92.2,2010,EA,Square Enix,13.26
Terraria,"Adventure, Strategy, Simulation",48.07,5.1,13.3,2000,EA,Bethesda,21.64
Dark Souls III,"Strategy, First-person shooter, Sports",269.38,3.9,52.5,2006,Ubisoft,Bandai Namco,5.18
Hades,"Simulation, Adventure, Strategy",483.6,5.4,70.7,2000,Bungie,Activision,29.8
Half-Life: Alyx,"Strategy, Sports",137.23,7.3,91.5,2011,Epic Games,Bethesda,1.19
Valheim,MMORPG,644.41,8.5,37.8,2007,Nintendo,Capcom,31.28
Among Us,"First-person shooter, Open World",26.29,6.4,17.7,2004,EA,Square Enix,41.03
Rust,"Adventure, Sports",91.87,9.8,96.3,2017,Valve,Sony,28.41
ARK: Survival Evolved,RPG,284.27,4.5,52.2,2017,Nintendo,Electronic Arts,44.47
Fallout 4,Open World,55.42,4.8,1.7,2020,Bethesda,Microsoft,46.35
Sekiro: Shadows Die Twice,"Open World, RPG, Puzzle",941.95,1.8,85.9,2019,Valve,Electronic Arts,42.01
Hollow Knight,"Sports, Racing",501.95,6.7,26.4,2007,CD Projekt Red,Sega,36.55
Slay the Spire,"Racing, Adventure",578.9,1.8,30.2,2020,Bethesda,Capcom,8.54
Portal 2,Strategy,392.99,2.6,11.6,2016,Ubisoft,Activision,59.23
Subnautica,"MMORPG, Adventure",664.44,3.3,46.6,2001,CD Projekt Red,Sony,38.42
Borderlands 3,"MMORPG, Simulation",911.68,7.7,28.3,2018,Bethesda,Bethesda,25.33
Overwatch,"Adventure, Puzzle, First-person shooter",244.11,3.2,7.4,2004,Bethesda,Activision,8.97
Fortnite,"Sports, Strategy",215.21,9.2,52.7,2010,Bungie,Bethesda,18.8
Minecraft,"First-person shooter, RPG, Strategy",328.32,3.1,63.2,2004,Ubisoft,Nintendo,18.46
The Elder Scrolls V: Skyrim,Adventure,164.18,3,95,2001,Nintendo,Microsoft,31.95
Left 4 Dead 2,First-person shooter,540.57,4.2,66.4,2015,Ubisoft,Square Enix,36.71
Team Fortress 2,"RPG, Racing",629.51,7.5,25.2,2015,Epic Games,Electronic Arts,26.84
Tom Clancy's Rainbow Six Siege,"Strategy, Sports, Puzzle",936.8,4.8,15.7,2015,Ubisoft,Sony,31.18
BioShock Infinite,Adventure,340.47,4.8,55,2008,EA,Activision,15.88
Far Cry 5,"MMORPG, Open World",209.88,8.3,66.1,2018,Ubisoft,Nintendo,55.35
Assassin's Creed Odyssey,First-person shooter,520.35,1.4,19.6,2013,Rockstar Games,Sega,27.15
Just Cause 4,"Sports, Puzzle",522.7,2.5,43.6,2016,Ubisoft,Activision,43.43
Metro Exodus,"Adventure, Puzzle, Open World",893.61,1.3,22.2,2008,CD Projekt Red,Bandai Namco,56.13
Destiny 2,"Racing, Puzzle, Simulation",148.59,9.4,28.6,2018,Valve,Nintendo,43.22
Resident Evil 2,"MMORPG, Puzzle",380.65,9.5,78,2002,Ubisoft,Bethesda,50.4
Monster Hunter: World,"Sports, Simulation, Strategy",204.51,2,58.1,2003,Nintendo,Bandai Namco,46.95
The Sims 4,First-person shooter,435.08,6.8,83,2004,BioWare,Square Enix,53.4
Sid Meier's Civilization VI,RPG,249.74,5.9,70.9,2001,BioWare,Square Enix,16.13
The Legend of Zelda: Breath of the Wild,"MMORPG, Sports, Open World",485.91,1.3,35.7,2011,Bungie,Sega,4.16
Super Mario Odyssey,"Puzzle, RPG, Open World",377.52,4.8,11.5,2020,Epic Games,Electronic Arts,27.79
God of War,"MMORPG, Strategy, Simulation",370.94,3.4,26.9,2009,Rockstar Games,Capcom,15.86
Bloodborne,Racing,703.64,1,84,2007,Valve,Activision,39.21
Horizon Zero Dawn,"Racing, Strategy, Open World",225.61,4.3,73.1,2010,Ubisoft,Nintendo,7.4
Persona 5,"Puzzle, Simulation",183.93,1.7,71.9,2016,CD Projekt Red,Microsoft,12.3
Final Fantasy XV,"First-person shooter, Sports",117.45,5.7,92.5,2000,Epic Games,Bethesda,44.38
The Last of Us,MMORPG,43.01,8.9,8.8,2014,Bungie,Nintendo,4.92
Death Stranding,Puzzle,811.23,7.9,34.1,2010,Valve,Microsoft,37.25
Apex Legends,"Strategy, Adventure",375.63,5.5,46.9,2011,Bethesda,Nintendo,29.75
Dota Underlords,"Racing, MMORPG",180.82,2.3,9.5,2013,Nintendo,Sega,45.87
Counter-Strike: Global Offensive,Racing,316.7,7.2,5.1,2011,Valve,Sega,11.28
Grand Theft Auto V,"Strategy, MMORPG",212.86,9.6,27.8,2007,Ubisoft,Nintendo,56.48
PlayerUnknown's Battlegrounds,"Racing, Adventure, Puzzle",629.4,3.7,9.4,2022,Bethesda,Bandai Namco,43.86
Rocket League,"MMORPG, RPG",447.03,8.2,37.2,2017,Ubisoft,Activision,0.49
The Witcher 3: Wild Hunt,Simulation,736.54,8.8,7.6,2019,BioWare,Square Enix,42.94
Red Dead Redemption 2,"Sports, MMORPG",848.28,1.9,57.7,2000,CD Projekt Red,Sega,20.26
Cyberpunk 2077,"Strategy, MMORPG, Adventure",322.66,5.6,62.7,2023,Bungie,Sony,49.37
DOOM Eternal,"First-person shooter, Puzzle, Adventure",4.94,6.6,62,2006,Epic Games,Microsoft,39.97
Stardew Valley,"MMORPG, Racing, Open World",470.9,6,31.5,2011,Nintendo,Bethesda,52.7
Terraria,"Puzzle, Sports",902.33,2.7,25.1,2012,EA,Nintendo,9.74
Dark Souls III,MMORPG,955.87,2.6,69.2,2015,CD Projekt Red,Activision,20.18
Hades,"Sports, Strategy",671.14,9.9,17,2022,CD Projekt Red,Nintendo,24.5
Half-Life: Alyx,"Strategy, Adventure, Open World",823.5,9.5,34.4,2010,Rockstar Games,Sony,3.25
Valheim,"First-person shooter, Racing",972.38,6.6,45.8,2012,Rockstar Games,Nintendo,12.65
Among Us,First-person shooter,285.46,2.8,77.7,2007,Ubisoft,Bethesda,31.08
Rust,"Strategy, Open World, Sports",67.88,3.2,90.3,2018,Nintendo,Nintendo,48.95
ARK: Survival Evolved,"Adventure, MMORPG, Simulation",343.77,1.4,62.9,2004,Bethesda,Sega,56.99
Fallout 4,First-person shooter,893.49,1.1,64.1,2010,Bethesda,Capcom,20.68
Sekiro: Shadows Die Twice,"Strategy, Puzzle",186.45,7.7,26.5,2007,Ubisoft,Capcom,50.85
Hollow Knight,"RPG, Sports, Puzzle",571.23,6.7,32.1,2009,Bungie,Electronic Arts,54.59
Slay the Spire,MMORPG,874.06,2.4,60.6,2017,Valve,Bethesda,19.37
Portal 2,"RPG, Strategy, Adventure",729.64,8.5,24.4,2009,Nintendo,Activision,5.2
Subnautica,Simulation,456.57,5.6,43.1,2014,Bethesda,Nintendo,45.92
Borderlands 3,"Puzzle, Strategy, MMORPG",277.2,8,69.7,2015,Epic Games,Capcom,4.97
Overwatch,RPG,980.74,2.1,21.3,2020,Nintendo,Electronic Arts,54.81
Fortnite,RPG,554.35,10,79.7,2010,Rockstar Games,Nintendo,58.06
Minecraft,"Open World, RPG, Sports",423.35,9.6,16.5,2002,Bethesda,Activision,3.64
The Elder Scrolls V: Skyrim,"RPG, Puzzle, Simulation",882.4,1.9,71,2007,Ubisoft,Square Enix,11.39
Left 4 Dead 2,"Sports, Strategy, Puzzle",583.84,4.4,77.1,2021,Nintendo,Bethesda,4.18
Team Fortress 2,"MMORPG, Strategy",245.97,9.3,89.1,2012,BioWare,Bethesda,12.51
Tom Clancy's Rainbow Six Siege,Simulation,681.42,9.6,98.2,2000,Valve,Sony,48.86
BioShock Infinite,Sports,227.56,3.8,4.2,2019,Bethesda,Nintendo,53.94
Far Cry 5,"Racing, Simulation",796.9,5.3,87,2022,EA,Microsoft,37.06
Assassin's Creed Odyssey,"Adventure, Sports",541.86,9.7,69.8,2016,Bungie,Square Enix,56.44
